respondent-id,age,gender,education,income,children,marital,pets
UE898F,35-44,F,Postgraduate degree,Mid 50%,0,married,2
NT261V,16-24,M,Trade / technical school or college,Prefer not to say,0,single,0
BQ447Q,45-64,M,Trade / technical school or college,Mid 50%,1,married,2
EB955S,25-34,M,Postgraduate degree,Prefer not to say,0,single,0
ZY334E,45-64,F,University degree,Mid 50%,2,single,1
DH399P,45-64,M,Schooling until age 16,Bottom 25%,0,single,2
EL290A,35-44,F,Schooling until age 18,Bottom 25%,1,married,0
ZM808A,35-44,M,Schooling until age 18,Mid 50%,0,married,3+
OZ150W,45-64,F,Schooling until age 16,Bottom 25%,3+,single,3+
SF869P,45-64,M,Postgraduate degree,Prefer not to say,0,married,2
CQ598R,16-24,M,Schooling until age 18,Mid 50%,0,married,3+
CZ780X,16-24,M,Schooling until age 16,Top 25%,0,single,3+
FE293D,45-64,M,Schooling until age 18,Bottom 25%,1,single,3+
DM199X,35-44,F,University degree,Mid 50%,2,married,1
HF150N,45-64,F,University degree,Prefer not to say,3+,married,0
UQ550V,16-24,M,Trade / technical school or college,Prefer not to say,0,single,2
YT428I,25-34,F,University degree,Top 25%,0,single,0
OE289W,45-64,F,Schooling until age 16,Mid 50%,3+,single,0
YL949L,16-24,F,Schooling until age 18,Bottom 25%,1,single,0
UM340P,45-64,F,Schooling until age 18,Bottom 25%,1,single,3+
PL925Q,35-44,F,University degree,Top 25%,2,married,3+
EU270T,35-44,F,Trade / technical school or college,Mid 50%,3+,married,2
EZ416F,45-64,F,University degree,Bottom 25%,1,married,2
VY133M,16-24,F,University degree,Mid 50%,0,single,3+
HZ447Y,25-34,M,Schooling until age 18,Bottom 25%,0,single,2
BK308U,45-64,M,Schooling until age 16,Prefer not to say,0,married,3+
QK327F,25-34,M,University degree,Top 25%,1,married,0
SD247F,16-24,F,Schooling until age 16,Mid 50%,0,single,0
HU413F,35-44,F,Schooling until age 16,Mid 50%,1,single,2
TB487Q,45-64,F,University degree,Mid 50%,3+,single,3+
TD951P,45-64,F,Schooling until age 18,Prefer not to say,1,married,2
IS249P,45-64,M,Schooling until age 18,Mid 50%,1,single,3+
EM567E,25-34,F,University degree,Mid 50%,0,single,0
XO461P,45-64,F,Schooling until age 16,Bottom 25%,0,single,2
JX315T,45-64,F,University degree,Mid 50%,0,married,3+
YL465S,25-34,M,Trade / technical school or college,Mid 50%,0,single,3+
QS834C,25-34,F,University degree,Top 25%,0,married,2
ZL987Q,45-64,F,Schooling until age 16,Prefer not to say,2,single,3+
IX265R,16-24,M,Schooling until age 18,Prefer not to say,0,single,2
KL377K,25-34,F,Schooling until age 16,Bottom 25%,0,single,2
TC743V,45-64,F,Schooling until age 16,Mid 50%,3+,single,3+
MU707M,45-64,F,Schooling until age 18,Top 25%,2,married,2
VR510K,25-34,M,University degree,Top 25%,1,married,3+
CM756E,45-64,M,Trade / technical school or college,Top 25%,2,married,0
YO766T,25-34,F,University degree,Mid 50%,0,single,2
RS672F,45-64,M,Postgraduate degree,Bottom 25%,1,married,1
VV279B,45-64,F,University degree,Mid 50%,1,single,0
RF803P,35-44,M,Postgraduate degree,Top 25%,1,married,3+
NH580F,35-44,F,Schooling until age 18,Mid 50%,3+,single,2
NL525G,25-34,F,Schooling until age 18,Mid 50%,0,single,3+
WU125L,45-64,M,Schooling until age 16,Mid 50%,2,married,3+
PJ187C,45-64,F,Trade / technical school or college,Mid 50%,0,single,1
BY682Q,45-64,F,Schooling until age 18,Top 25%,1,married,3+
JO754Z,16-24,M,Schooling until age 16,Prefer not to say,0,single,2
NW709D,16-24,F,University degree,Prefer not to say,0,single,3+
VR666I,45-64,F,Schooling until age 18,Mid 50%,3+,single,3+
BM568I,45-64,M,Schooling until age 18,Mid 50%,1,married,3+
XM421O,25-34,F,Trade / technical school or college,Top 25%,1,single,1
OI653Y,45-64,F,Trade / technical school or college,Mid 50%,1,single,2
