ViewerID,age,gender,children,marital,Household Size,Social Class,Household Status,Working Status,Ethnic Origin,Number of TV sets,Digital Status,Cable/Satellite,Multi Channel Status,TV Platform Reception Type,Mosaic Classification
548-1,45-64,M,0,married,2 people,D,Head of household,30+ hours per week,White British,1,Digital Satellite & Digital Cable,Both Satellite and Cable,Digital Multichannel Only,Digital Satellite and Digital Cable Only,Terraced Melting Pot - Global Fusion
548-2,45-64,F,0,married,2 people,D,Housewife,30+ hours per week,White British,1,Digital Satellite & Digital Cable,Both Satellite and Cable,Digital Multichannel Only,Digital Satellite and Digital Cable Only,Terraced Melting Pot - Global Fusion
568-1,35-44,F,2,married,4 people,C1,housewife and head of household,30+ hours per week,Asian – Bangladeshi,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Terraced Melting Pot - Global Fusion
568-2,35-44,M,2,married,4 people,C1,Neither hw nor hh,30+ hours per week,Black – Caribbean,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Terraced Melting Pot - Global Fusion
1074-1,45-64,F,0,married,2 people,AB,Housewife,30+ hours per week,White British,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Professional Rewards - Yesterday's Captains
1074-2,45-64,M,0,married,2 people,AB,Head of household,f.t. education / under school,White British,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Professional Rewards - Yesterday's Captains
1103-1,45-64,F,0,married,2 people,C2,Housewife,8-29 hours per week,White British,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Suburban Mindsets - Shop Floor Affluence
1103-2,45-64,M,0,married,2 people,C2,Head of household,30+ hours per week,White British,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Suburban Mindsets - Shop Floor Affluence
1268-1,45-64,M,0,married,2 people,AB,Neither hw nor hh,30+ hours per week,White British,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Alpha Territory - Business Class
1268-2,45-64,F,0,married,2 people,AB,housewife and head of household,30+ hours per week,White British,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Alpha Territory - Business Class
1279-5,25-34,F,0,single,3 people,AB,Neither hw nor hh,30+ hours per week,White British,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Liberal Opinions - Crash Pad Professionals
1301-1,45-64,M,0,married,5 people,D,Head of household,8-29 hours per week,Asian – Bangladeshi,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
1301-2,45-64,F,0,married,5 people,D,Housewife,No paid work,Asian – Bangladeshi,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
1301-3,25-34,F,0,single,5 people,D,Neither hw nor hh,8-29 hours per week,Asian – Bangladeshi,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
1301-4,25-34,F,0,single,5 people,D,Neither hw nor hh,f.t. education / under school,Asian – Bangladeshi,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
1301-5,16-24,M,0,single,5 people,D,Neither hw nor hh,8-29 hours per week,Asian – Bangladeshi,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
1320-1,35-44,F,1,married,3 people,AB,Housewife,8-29 hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Suburban Mindsets - Asian Attainment
1320-2,35-44,M,1,married,3 people,AB,Head of household,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Suburban Mindsets - Asian Attainment
