gwiId,wgt,age,gender,education,income,children,marital
0c8cbc69c8268eb137ac54d49fa571eb,3722.7426677880653,35-44,F,Postgraduate degree,Mid 50%,0,married
0d6d8098dd039ba68ffb26acd7ab569a,6556.642585168079,16-24,M,Trade / technical school or college,Prefer not to say,0,single
106e08b405c0a97c72ee67967077d20c,4785.1625715406935,45-64,M,Trade / technical school or college,Mid 50%,1,married
14a0b2dc2174f6defd0dc4b2fee87ca7,4964.415750592672,25-34,M,Postgraduate degree,Prefer not to say,0,single
17973f5bce2a527e098477ff5110c4fa,3761.888744450687,45-64,F,University degree,Mid 50%,2,single
1e358c20478eb7ee89682371786080c1,4785.1625715406935,45-64,M,Schooling until age 16,Bottom 25%,0,single
1eb4915ae60fcc6b6e7702a127f077db,3722.7426677880653,35-44,F,Schooling until age 18,Bottom 25%,1,married
212da28a60ede60c129c5cffe47cc02b,4569.578641823026,35-44,M,Schooling until age 18,Mid 50%,0,married
26728cabbe70d14f124e8d0068f30ae7,3761.888744450687,45-64,F,Schooling until age 16,Bottom 25%,3+,single
2ab0fbfd23d9ccd658516148d14672cd,4785.1625715406935,45-64,M,Postgraduate degree,Prefer not to say,0,married
40f59acaf0d0dd1615ab45706a7f4cdd,6556.642585168079,16-24,M,Schooling until age 18,Mid 50%,0,married
41920c5750438b1857e05e5ef961aa12,6556.642585168079,16-24,M,Schooling until age 16,Top 25%,0,single
49912c75ed15ba8863866ff1c89174f5,4452.796148340271,45-64,M,Schooling until age 18,Bottom 25%,1,single
4ff001ee42cd8e14608514af14c8b49c,3722.7426677880653,35-44,F,University degree,Mid 50%,2,married
5ab4aaa65895ad36e4adc1eae1185c74,3761.888744450687,45-64,F,University degree,Prefer not to say,3+,married
6044a345af40e3b0f9377ae657eb48cd,6556.642585168079,16-24,M,Trade / technical school or college,Prefer not to say,0,single
62b15c1c9134190a730950be5c6a38e2,3691.0130847656283,25-34,F,University degree,Top 25%,0,single
641c5a1a418754ef466e65b94696a4af,4156.2143980421615,45-64,F,Schooling until age 16,Mid 50%,3+,single
661d5a9eec6675d8bc07e97f88787b85,3946.9774114261822,16-24,F,Schooling until age 18,Bottom 25%,1,single
6aca805886fd73a53067d61be0a0691e,3761.888744450687,45-64,F,Schooling until age 18,Bottom 25%,1,single
6ef858367866387f5af09ecc826b6682,3722.7426677880653,35-44,F,University degree,Top 25%,2,married
705625a7b213a836331aa5e5e2e2f41f,3722.7426677880653,35-44,F,Trade / technical school or college,Mid 50%,3+,married
708b4d9d135456ecd1f807f1c1521c5e,4156.2143980421615,45-64,F,University degree,Bottom 25%,1,married
72d8c5ea3934ad76a6e58c72034bc2c8,3946.9774114261822,16-24,F,University degree,Mid 50%,0,single
73c8ec93ec2263a1d0edfed98f6fe6f5,4964.415750592672,25-34,M,Schooling until age 18,Bottom 25%,0,single
76e2b03d935d52f650ea910c13524685,4452.796148340271,45-64,M,Schooling until age 16,Prefer not to say,0,married
