panelist-id,age,gender,children,marital,Household Size,Social Class,Working Status,Number of TV sets,Digital Status,Cable/Satellite,Multi Channel Status,TV Platform Reception Type
61913,45-64,M,0,married,2 people,D,30+ hours per week,1,Digital Satellite & Digital Cable,Both Satellite and Cable,Digital Multichannel Only,Digital Satellite and Digital Cable Only
62248,45-64,F,0,married,2 people,D,30+ hours per week,1,Digital Satellite & Digital Cable,Both Satellite and Cable,Digital Multichannel Only,Digital Satellite and Digital Cable Only
84954,35-44,F,2,married,4 people,C1,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
56838,35-44,M,2,married,4 people,C1,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
55556,45-64,F,0,married,2 people,AB,30+ hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
17173,45-64,M,0,married,2 people,AB,f.t. education / under school,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
15834,45-64,F,0,married,2 people,C2,8-29 hours per week,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
62118,45-64,M,0,married,2 people,C2,30+ hours per week,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
72817,45-64,M,0,married,2 people,AB,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
16294,45-64,F,0,married,2 people,AB,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
37306,25-34,F,0,single,3 people,AB,30+ hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
92177,45-64,M,0,married,5 people,D,8-29 hours per week,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
34729,45-64,F,0,married,5 people,D,No paid work,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
73532,25-34,F,0,single,5 people,D,8-29 hours per week,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
